ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE
,,,,94109,6075010800.0,0.027141487321542722,2020-09-01,,,,
,,,,94109,6075012401.0,0.025010654165778818,2020-09-01,,,,
,,,,94109,6075015200.0,0.030577455785212017,2020-09-01,,,,
,,,,94109,6075011901.0,0.04338909013424249,2020-09-01,,,,
,,,,94109,6075011000.0,0.07820157681653526,2020-09-01,,,,
,,,,94109,6075010900.0,0.07529831664180694,2020-09-01,,,,
,,,,94109,6075012901.0,0.0077509056040912,2020-09-01,,,,
,,,,94109,6075012000.0,0.06818666098444492,2020-09-01,,,,
,,,,94109,6075011200.0,0.028686341359471554,2020-09-01,,,,
,,,,94109,6075012902.0,0.00034626038781163435,2020-09-01,,,,
,,,,94109,6075011100.0,0.08936181546984871,2020-09-01,,,,
,,,,94109,6075016000.0,0.020029831664180694,2020-09-01,,,,
,,,,94110,6075021100.0,0.0046075143137852765,2020-09-01,,,,
,,,,94110,6075020600.0,0.0016939390859504692,2020-09-01,,,,
,,,,94110,6075020300.0,0.0013890300504793849,2020-09-01,,,,
,,,,94110,6075021500.0,0.029440661313819155,2020-09-01,,,,
,,,,94110,6075022901.0,0.05393502049666294,2020-09-01,,,,
,,,,94110,6075025403.0,0.03018599451163736,2020-09-01,,,,
,,,,94110,6075022801.0,0.06647016973269641,2020-09-01,,,,
,,,,94110,6075020200.0,0.014567876139174036,2020-09-01,,,,
,,,,94110,6075022903.0,0.039163871667174846,2020-09-01,,,,
,,,,94110,6075021400.0,0.0033201206084629196,2020-09-01,,,,
,,,,94110,6075020900.0,0.06440356404783684,2020-09-01,,,,
,,,,94110,6075025100.0,0.04773520344208422,2020-09-01,,,,
,,,,94110,6075020700.0,0.10048446657858183,2020-09-01,,,,
,,,,94110,6075021000.0,0.079411864349358,2020-09-01,,,,
,,,,94110,6075021800.0,0.0025409086289257038,2020-09-01,,,,
,,,,94110,6075020800.0,0.09611410373682962,2020-09-01,,,,
,,,,94110,6075022803.0,0.057356777450282885,2020-09-01,,,,
,,,,94110,6075022902.0,0.02801775248162076,2020-09-01,,,,
,,,,94110,6075025300.0,0.06365823085001864,2020-09-01,,,,
,,,,94110,6075025401.0,0.04675271877223295,2020-09-01,,,,
,,,,94110,6075025402.0,0.03750381136294339,2020-09-01,,,,
,,,,94110,6075022802.0,0.024663753091438832,2020-09-01,,,,
,,,,94110,6075020100.0,0.026120540705356236,2020-09-01,,,,
,,,,94110,6075025200.0,0.07666768303011824,2020-09-01,,,,
,,,,94110,6075017700.0,0.003794423552529051,2020-09-01,,,,
,,,,94112,6075026004.0,0.046488217799130635,2020-09-01,,,,
,,,,94112,6075026302.0,0.04593914436055822,2020-09-01,,,,
,,,,94112,6075031000.0,0.05220773278425989,2020-09-01,,,,
,,,,94112,6075031301.0,0.0010066346373827498,2020-09-01,,,,
,,,,94112,6075026301.0,0.053580416380690915,2020-09-01,,,,
,,,,94112,6075026001.0,0.0648364218714253,2020-09-01,,,,
,,,,94112,6075025600.0,0.03349347975291695,2020-09-01,,,,
,,,,94112,6075026200.0,0.08300160146419584,2020-09-01,,,,
,,,,94112,6075031100.0,0.03678792038435141,2020-09-01,,,,
,,,,94112,6075026002.0,0.03870967741935484,2020-09-01,,,,
,,,,94112,6075025403.0,0.02786547700754976,2020-09-01,,,,
,,,,94112,6075031302.0,0.0002745367192862045,2020-09-01,,,,
,,,,94112,6075026003.0,0.057835735529627084,2020-09-01,,,,
,,,,94112,6075031202.0,0.035964310226492796,2020-09-01,,,,
,,,,94112,6075025500.0,0.10903683367650423,2020-09-01,,,,
,,,,94112,6075026303.0,0.05239075726378403,2020-09-01,,,,
,,,,94112,6075980501.0,0.0008693662777396477,2020-09-01,,,,
,,,,94112,6075030900.0,0.0007778540379775795,2020-09-01,,,,
,,,,94112,6081600700.0,0.00022878059940517045,2020-09-01,,,,
,,,,94112,6075026100.0,0.10446122168840083,2020-09-01,,,,
,,,,94112,6075031400.0,0.07961564859299931,2020-09-01,,,,
,,,,94112,6075031201.0,0.07462823152596659,2020-09-01,,,,
,,,,94114,6075021100.0,0.1061708434384263,2020-09-01,,,,
,,,,94114,6075020500.0,0.1050390730261385,2020-09-01,,,,
,,,,94114,6075030500.0,0.007006197790353005,2020-09-01,,,,
,,,,94114,6075016801.0,0.006090002694691458,2020-09-01,,,,
,,,,94114,6075020600.0,0.15348962543788736,2020-09-01,,,,
,,,,94114,6075016700.0,0.0010778765831312314,2020-09-01,,,,
,,,,94114,6075021400.0,0.06488817030450013,2020-09-01,,,,
,,,,94114,6075016900.0,0.09496092697386149,2020-09-01,,,,
,,,,94114,6075020401.0,0.0928590676367556,2020-09-01,,,,
,,,,94114,6075017000.0,0.09054163298302344,2020-09-01,,,,
,,,,94114,6075020300.0,0.08811641067097817,2020-09-01,,,,
,,,,94114,6075020402.0,0.03621665319320938,2020-09-01,,,,
,,,,94114,6075030102.0,0.00819186203179736,2020-09-01,,,,
,,,,94114,6075021200.0,0.08477499326327136,2020-09-01,,,,
,,,,94114,6075021300.0,0.06057666397197521,2020-09-01,,,,
,,,,94115,6075015900.0,0.1116041607023571,2020-09-01,,,,
,,,,94115,6075015700.0,0.04881190953335242,2020-09-01,,,,
,,,,94115,6075015300.0,0.05625536787861437,2020-09-01,,,,
,,,,94115,6075015400.0,0.054346788815726695,2020-09-01,,,,
,,,,94115,6075060100.0,0.000286286859433152,2020-09-01,,,,
,,,,94115,6075013500.0,0.09256608455005248,2020-09-01,,,,
,,,,94115,6075013300.0,0.01674778127683939,2020-09-01,,,,
,,,,94115,6075016100.0,0.10960015268632503,2020-09-01,,,,
,,,,94115,6075015802.0,0.05978623914495658,2020-09-01,,,,
,,,,94115,6075015801.0,0.0853611985876515,2020-09-01,,,,
,,,,94115,6075015500.0,0.0936158030346407,2020-09-01,,,,
,,,,94115,6075015200.0,0.06584597766962497,2020-09-01,,,,
,,,,94115,6075013200.0,0.09743296116041607,2020-09-01,,,,
,,,,94115,6075013102.0,0.0011928619143048,2020-09-01,,,,
,,,,94115,6075013400.0,0.10654642618570474,2020-09-01,,,,
,,,,94116,6075030301.0,0.0036126251742933197,2020-09-01,,,,
,,,,94116,6075032802.0,0.02414754721764482,2020-09-01,,,,
,,,,94116,6075033000.0,0.15863861072379262,2020-09-01,,,,
,,,,94116,6075030800.0,0.04867537076942578,2020-09-01,,,,
,,,,94116,6075035100.0,0.006401318291291672,2020-09-01,,,,
,,,,94116,6075030302.0,0.05609075928508049,2020-09-01,,,,
,,,,94116,6075060400.0,0.0003168969451134491,2020-09-01,,,,
,,,,94116,6075032901.0,0.13829382684750918,2020-09-01,,,,
,,,,94116,6075032801.0,0.08980859424515147,2020-09-01,,,,
,,,,94116,6075032902.0,0.02446444416275827,2020-09-01,,,,
,,,,94116,6075030102.0,0.0,2020-09-01,,,,
,,,,94116,6075030500.0,0.0,2020-09-01,,,,
,,,,94116,6075035201.0,0.018887057928761566,2020-09-01,,,,
,,,,94116,6075030400.0,0.12587146659906198,2020-09-01,,,,
,,,,94116,6075035300.0,0.15293446571175054,2020-09-01,,,,
,,,,94116,6075035400.0,0.14976549626061605,2020-09-01,,,,
,,,,94116,6075030600.0,0.002091519837748764,2020-09-01,,,,
,,,,94117,6075017102.0,0.09212316685984982,2020-09-01,,,,
,,,,94117,6075016600.0,0.15642795948193317,2020-09-01,,,,
,,,,94117,6075030101.0,0.03295872599909288,2020-09-01,,,,
,,,,94117,6075015802.0,0.02096457188933125,2020-09-01,,,,
,,,,94117,6075016700.0,0.1255354533084715,2020-09-01,,,,
,,,,94117,6075015700.0,0.02167011036637605,2020-09-01,,,,
,,,,94117,6075017101.0,0.09887617799727864,2020-09-01,,,,
