id,lat,lon,year_mon
602,37.753594865,-122.4092755,2022-06
603,37.783975804,-122.462278444,2022-01
604,37.752979159,-122.405828502,2024-11
605,37.786986977,-122.419110401,2021-06
606,37.723455457,-122.439317597,2024-09
607,37.729594547,-122.384963445,2022-03
608,37.750087132,-122.445350114,2020-12
609,37.78487378,-122.389808109,2022-03
610,37.784802605,-122.420359588,2024-10
611,37.787027218,-122.394922601,2022-09
612,37.764539317,-122.429051747,2020-08
613,37.76219227,-122.467793775,2023-11
614,37.733640024,-122.401422222,2024-07
615,37.782635513,-122.414862827,2021-07
616,37.776595637,-122.498522516,2023-07
617,37.78832457,-122.393911345,2023-06
618,37.772359929,-122.391397888,2022-09
619,37.795032571,-122.407793069,2024-02
620,37.78832457,-122.393911345,2022-06
621,37.790571667,-122.405963224,2021-06
622,37.78832457,-122.393911345,2024-01
623,37.78832457,-122.393911345,2022-08
624,37.741368855,-122.422541992,2022-02
625,37.781783302,-122.468703265,2024-11
626,37.752799025,-122.442795705,2024-12
627,37.794346706,-122.427347528,2022-07
628,37.790807253,-122.411643003,2021-12
629,37.783260387,-122.418366153,2023-02
630,37.781538062,-122.448850916,2020-11
631,37.78820946,-122.431168685,2022-03
632,37.720923476,-122.39276343,2021-03
633,37.766134387,-122.421935076,2021-12
634,37.783388956,-122.409832446,2022-11
635,37.765682171,-122.461125418,2023-11
636,37.790388758,-122.414938763,2024-07
637,37.779811931,-122.433758569,2022-09
638,37.796551048,-122.405283979,2020-06
639,37.780142155,-122.427851896,2022-10
640,37.791654185,-122.420058319,2020-01
641,37.765858282,-122.419816092,2023-11
642,37.723947171,-122.443848556,2023-04
643,37.757235568,-122.395890348,2021-09
644,37.796632468,-122.417022226,2020-04
645,37.754480419,-122.408803266,2023-06
646,37.749769032,-122.419392137,2020-05
647,37.714311121,-122.492030022,2023-10
648,37.752766726,-122.410519782,2024-11
649,37.800665929,-122.428624465,2021-01
650,37.780646414,-122.427178093,2022-10
651,37.782723971,-122.396167865,2021-10
652,37.716563538,-122.43088871,2024-04
653,37.743697723,-122.482255209,2023-04
654,37.78487378,-122.389808109,2022-02
655,37.719620661,-122.406766106,2021-10
656,37.718668845,-122.440309044,2020-03
657,37.730077828,-122.421763416,2020-11
658,37.772694134,-122.42218914,2021-08
659,37.783388956,-122.409832446,2022-11
660,37.762700357,-122.420562762,2020-08
661,37.780658986,-122.456084857,2021-05
662,37.7220361,-122.401210137,2024-10
663,37.763561299,-122.423876264,2024-09
664,37.727050746,-122.403281819,2021-01
665,37.781717539,-122.389147051,2022-01
666,37.78832457,-122.393911345,2023-06
667,37.801174807,-122.429500503,2021-02
668,37.777083316,-122.416979514,2021-11
669,37.72590138,-122.426262999,2021-01
670,37.722760694,-122.455062194,2022-02
671,37.781145862,-122.409026046,2021-01
672,37.743921473,-122.437233045,2020-12
673,37.794613864,-122.403978966,2022-09
674,37.797604593,-122.403668204,2023-04
675,37.780130375,-122.40987145,2020-01
676,37.796723877,-122.442116503,2023-11
677,37.796632468,-122.417022226,2020-04
678,37.731850435,-122.396778517,2021-01
679,37.773337656,-122.409148509,2021-07
680,37.772694134,-122.42218914,2023-05
681,37.780877259,-122.414506898,2024-01
682,37.734066116,-122.49793656,2022-08
683,37.73319327,-122.381060918,2022-08
684,37.730300428,-122.40314678,2023-06
685,37.777083316,-122.416979514,2020-11
686,37.719594303,-122.470301549,2022-06
687,37.777230858,-122.484597032,2022-10
688,37.763506014,-122.426429239,2024-06
689,37.777902348,-122.448849567,2020-02
690,37.789478818,-122.414561131,2023-06
691,37.777083316,-122.416979514,2022-09
692,37.786059846,-122.414643592,2024-09
693,37.757790596,-122.419696229,2022-02
694,37.786268442,-122.412997235,2022-01
695,37.773610639,-122.464291404,2022-02
696,37.777045073,-122.41443258,2024-04
697,37.772127456,-122.416663997,2020-05
698,37.78574307,-122.465627229,2020-11
