TC02 - Historical Tent Counts,,,,,,,,,,,
Observed,Location,Tents,Structures,Passenger Vehicles,Other Vehicles,District,Neighborhood,Supervisor,Latitude,Longitude,
12/10/25,"1761 WALLACE AVE, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bayview,10,37.72871589488232,-122.39339945782075,
12/10/25,"1361 EGBERT AVE, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Bret Harte,10,37.72225533701481,-122.39185157819348,
12/10/25,"4329 LINCOLN WAY, SAN FRANCISCO, CA 94122",0,0,1,0,TARAVAL,Outer Sunset,4,37.76423432558757,-122.50456418842076,
12/10/25,"2921 MISSION ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.75028741393345,-122.41820826216458,
12/10/25,"576 HOWARD ST, SAN FRANCISCO, CA 94105",0,1,0,0,SOUTHERN,South of Market,6,37.787049081635224,-122.39804729819299,
12/10/25,"4125 LINCOLN WAY, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.764244132375325,-122.50234231352805,
12/10/25,"3557 LINCOLN WAY, SAN FRANCISCO, CA 94122",0,0,1,2,TARAVAL,Outer Sunset,4,37.76451236076866,-122.49601498246192,
12/10/25,"5377 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",0,0,0,2,INGLESIDE,Diamond Heights,8,37.742201022372754,-122.4358419701457,
12/10/25,"1120 WISCONSIN ST, SAN FRANCISCO, CA 94107",0,0,0,1,BAYVIEW,Potrero Hill,10,37.7543398787252,-122.39867777331737,
12/10/25,"INTERSECTION INGALLS ST, PALOU AVE, SAN FRANCISCO, CA 94124",0,1,0,4,BAYVIEW,Hunters Point,10,37.7296954168161,-122.38347464296665,
12/10/25,"INTERSECTION WISCONSIN ST, 19TH ST, SAN FRANCISCO, CA 94107",0,0,0,2,BAYVIEW,Potrero Hill,10,37.761105517863015,-122.39957618058922,
12/10/25,"2028 LAWTON ST, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.75764917162042,-122.48478289693593,
12/10/25,"2145 LAWTON ST, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.757532009733545,-122.48609852045776,
12/10/25,"3400 24TH ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.75220168886872,-122.4207829329915,
12/10/25,"2228 LAWTON ST, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.75747130813999,-122.48693201690912,
12/10/25,"1448 GRIFFITH ST, SAN FRANCISCO, CA 94124",0,1,0,11,BAYVIEW,Hunters Point,10,37.726098979221526,-122.38117836646764,
12/10/25,"255 ORANGE ALY, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.74936205522887,-122.41978111165771,
12/10/25,"2815 LAWTON ST, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.757233802736344,-122.49306958168746,
12/10/25,"1798 CARROLL AVE, SAN FRANCISCO, CA 94124",0,0,0,3,BAYVIEW,Bayview,10,37.726453163739116,-122.39598810023432,
12/10/25,"1242 QUESADA AVE, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Hunters Point,10,37.7285895045171,-122.38289104284108,
12/10/25,"1299 JAMESTOWN AVE, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Bret Harte,10,37.72104604739557,-122.39820008394672,
12/10/25,"1718 36TH AVE, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.75486294807338,-122.49472115188836,
12/10/25,"1300 GILMAN AVE, SAN FRANCISCO, CA 94124",1,0,0,7,BAYVIEW,Bret Harte,10,37.72152088488858,-122.39385566831085,
12/10/25,"1445 STEVENSON ST, SAN FRANCISCO, CA 94103",1,3,0,0,MISSION,Mission,9,37.76886545758926,-122.42144609351115,
12/10/25,"280 13TH ST, SAN FRANCISCO, CA 94103",1,0,0,4,MISSION,South of Market,6,37.770106630400036,-122.41957137763426,
12/10/25,"1106 KEY AVE, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bret Harte,10,37.72024611997935,-122.39787695641088,
12/10/25,"1180 KEY AVE, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bret Harte,10,37.720795619588905,-122.39927704218076,
12/10/25,"12 13TH ST, SAN FRANCISCO, CA 94103",1,2,0,1,MISSION,South of Market,6,37.769614563588426,-122.41218882181077,
12/10/25,"3501 KEITH ST, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bret Harte,10,37.71932546834039,-122.39854734266461,
12/10/25,"469 15TH ST, SAN FRANCISCO, CA 94103",0,0,0,3,MISSION,Showplace Square,6,37.76728669053017,-122.40542458313108,
12/10/25,"295 SAN BRUNO AVE, SAN FRANCISCO, CA 94103",0,0,0,3,MISSION,Showplace Square,6,37.766078390309765,-122.40562786835947,
12/10/25,"1845 EGBERT AVE, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Bayview,10,37.7270412774909,-122.40073694331866,
12/10/25,"1755 EGBERT AVE, SAN FRANCISCO, CA 94124",0,0,4,6,BAYVIEW,Bayview,10,37.72636561659319,-122.39697974394478,
12/10/25,"315 LAKE MERCED BLVD, SAN FRANCISCO, CA 94132",0,0,0,1,TARAVAL,Lakeshore,7,37.7290232891569,-122.49318759888412,
12/10/25,"2801 NEWHALL ST, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bayview,10,37.72779882617062,-122.39875165850249,
12/10/25,"752 HOLLY PARK CIR, SAN FRANCISCO, CA 94110",0,0,0,2,INGLESIDE,Holly Park,9,37.73771599351601,-122.42072001099585,
12/10/25,"10 HOLLY PARK CIR, SAN FRANCISCO, CA 94110",0,0,0,1,INGLESIDE,Holly Park,9,37.738010302037445,-122.42045246064663,
12/10/25,"354 FLORIDA ST, SAN FRANCISCO, CA 94110",0,0,0,1,MISSION,Mission,9,37.7648246491472,-122.41140387286109,
12/10/25,"INTERSECTION FLORIDA ST, 15TH ST, SAN FRANCISCO, CA 94103",0,2,0,1,MISSION,Mission,9,37.766884983419935,-122.41162346222039,
12/10/25,"46 HOLLY PARK CIR, SAN FRANCISCO, CA 94110",0,0,0,1,INGLESIDE,Holly Park,9,37.73824919485082,-122.41999983787537,
12/10/25,"2830 ALAMEDA ST, SAN FRANCISCO, CA 94103",0,2,0,1,MISSION,Mission,6,37.76807156165125,-122.41277643622229,
12/10/25,"32 11TH ST, SAN FRANCISCO, CA 94103",0,0,0,2,TENDERLOIN,South of Market,6,37.77500000000001,-122.41830000000002,
12/10/25,"515 HOLLY PARK CIR, SAN FRANCISCO, CA 94110",0,0,0,1,INGLESIDE,Holly Park,9,37.736142881371606,-122.42038942873478,
12/10/25,"1346 15TH ST, SAN FRANCISCO, CA 94103",0,0,0,2,MISSION,Mission,9,37.76701871633313,-122.41444741201325,
12/10/25,"137 JUAN BAUTISTA CIR, SAN FRANCISCO, CA 94132",0,0,0,1,TARAVAL,Parkmerced,7,37.71748968834683,-122.4772824347019,
12/10/25,"68 ROSENKRANZ ST, SAN FRANCISCO, CA 94110",0,0,0,1,INGLESIDE,Bernal Heights,9,37.742422403316446,-122.41076264530419,
12/10/25,"4014 19TH AVE, SAN FRANCISCO, CA 94132",0,0,0,2,TARAVAL,Merced Heights,11,37.715814036205735,-122.47121762484312,
12/10/25,"INTERSECTION BYXBEE ST, SARGENT ST, SAN FRANCISCO, CA 94132",0,0,0,1,TARAVAL,Merced Heights,11,37.71607289219295,-122.46984701603651,
12/10/25,"216 RANDOLPH ST, SAN FRANCISCO, CA 94132",0,0,0,1,TARAVAL,Merced Heights,11,37.714410999802126,-122.46462542563677,
12/10/25,"3698 ALEMANY BLVD, SAN FRANCISCO, CA 94132",0,0,0,1,TARAVAL,Merced Heights,7,37.711943553946185,-122.46525574475525,
12/10/25,"2825 CESAR CHAVEZ ST, SAN FRANCISCO, CA 94124",1,0,0,0,MISSION,Peralta Heights,9,37.74865738529581,-122.40627765655516,
12/10/25,"990 PERALTA AVE, SAN FRANCISCO, CA 94110",0,0,0,1,INGLESIDE,Bernal Heights,9,37.7370080574157,-122.40914091467857,
